Experience,Acceptance Rate,Primary Company,Other Companies
5.485485540349724,22.76556471774114,Company A,Company D
15.218746567305919,77.41678780641823,Company A,Company E
19.726608963239922,102.39676820039418,Company A,Company E
1.5445999910614434,5.9856475918801495,Company A,Company C
14.007418455019652,60.33717353571606,Company A,Company C
13.675953296948824,70.37513228513046,Company A,Company C
14.864564623123762,82.07236557837344,Company A,Company B
8.187868385725817,46.79943544717854,Company A,Company E
1.4974852637505118,-0.8234075582089329,Company A,Company B
15.388927221960447,85.62878251064969,Company A,Company B
3.286342097036967,11.540783865694557,Company A,Company D
3.9651792765297813,12.994780185992646,Company A,Company E
11.481759199932192,50.754324164157055,Company A,Company E
9.260310865084348,53.704845839768325,Company A,Company C
1.444500531744719,9.943174505417545,Company A,Company D
9.645889989598873,53.296858614483355,Company A,Company E
3.4106315864176957,18.35601900217606,Company A,Company B
5.422928345331725,26.775297881657195,Company A,Company B
12.561376801992301,53.22264109104942,Company A,Company E
11.275401810112177,64.87990859397914,Company A,Company D
3.2068234614783395,6.328985483480192,Company A,Company E
15.497681548620958,75.2504273753349,Company A,Company C
12.805972224298504,68.78340180706502,Company A,Company C
15.13958065409937,75.98910819282102,Company A,Company B
13.320337413075938,74.54336034235045,Company A,Company B
8.568781166466358,33.49968966623512,Company A,Company E
14.950248043717409,67.0176790400093,Company A,Company B
16.142940425841847,88.50066437112166,Company A,Company D
1.4698181528100083,-1.397411225434908,Company A,Company E
14.02499834765766,61.91635301725068,Company A,Company D
4.468691792856433,13.212522744657244,Company A,Company B
16.298859778063573,86.40284951537382,Company A,Company D
12.279199422426657,54.42395012262267,Company A,Company C
6.334675128297149,24.089467122605196,Company A,Company B
5.135595360864735,26.19350904105547,Company A,Company E
6.670685961548637,37.89835990329873,Company A,Company E
19.38178907153457,89.96897170578218,Company A,Company E
6.613055247105761,37.85724690327135,Company A,Company B
9.808518086587615,47.72128301231065,Company A,Company B
17.19817177856347,90.1622741800085,Company A,Company C
18.870129237157943,87.9885820066312,Company A,Company E
1.3297779556014564,2.532687598906497,Company A,Company C
14.940151072182177,66.01545644998617,Company A,Company B
10.965373645946494,59.293394251057705,Company A,Company E
16.72466389168519,86.20550178857519,Company A,Company C
17.05687307041801,94.42459721028447,Company A,Company C
7.573081711830206,34.88993705373951,Company A,Company E
4.336799779507223,29.525489870800484,Company A,Company D
16.797336747666392,91.76814893069084,Company A,Company D
3.33095015990373,13.265964257780839,Company A,Company C
12.40973210416067,65.43311216108499,Company A,Company B
4.928821732012256,20.809072941307903,Company A,Company B
9.119517325229985,49.89664183276143,Company A,Company C
11.560886200353815,67.399260619872,Company A,Company B
7.269887159339852,30.097267249450425,Company A,Company C
18.840717602744814,102.58163744212413,Company A,Company B
18.159061363008345,89.82108544028699,Company A,Company B
12.278553081075492,60.48213392847787,Company A,Company D
11.824579157323166,58.39944857590179,Company A,Company D
11.352848549706433,49.75674121116652,Company A,Company C
12.088468539381138,64.59759513152665,Company A,Company C
11.576452084572237,55.659262959868606,Company A,Company E
11.10222876454832,54.50864501831719,Company A,Company E
12.717559200514364,62.28319501902253,Company A,Company B
10.969277553734944,45.326946128655045,Company A,Company B
8.049055276632965,31.386944247013805,Company A,Company C
17.948013991398152,83.6051240850972,Company A,Company E
2.2807085023252585,12.47483372791916,Company A,Company B
8.732526253985743,35.57341600984868,Company A,Company C
8.400213101506726,42.62644817865376,Company A,Company B
2.773866459875989,7.336055612604854,Company A,Company D
18.056906098105497,92.4829922715792,Company A,Company B
2.860100898207005,22.39355265803331,Company A,Company D
3.0984093767040397,14.732520866657747,Company A,Company C
16.92409517806332,90.40511721159879,Company A,Company C
1.9153932879189894,2.339233266191272,Company A,Company D
11.742705102213744,65.41084136746375,Company A,Company B
6.853996525333267,42.03010457417797,Company A,Company D
19.04178106847697,92.92191356273301,Company A,Company E
4.905319822600153,22.99809952443601,Company A,Company E
13.43084149495866,69.88108235072797,Company A,Company D
13.939334946020947,78.12796389079438,Company A,Company B
1.3486249164762416,7.598727761444639,Company A,Company D
6.1514057499025965,37.17137546651115,Company A,Company B
15.847527935735123,69.6213463991555,Company A,Company C
15.883317231889123,80.30017995218698,Company A,Company E
15.890768220556586,72.66496549435782,Company A,Company D
19.40255755429672,90.36008800669886,Company A,Company D
2.5504411512933887,6.513495189099531,Company A,Company D
5.757165443005667,26.604994635320875,Company A,Company B
9.823261162714084,43.51610005699405,Company A,Company B
2.23625250143866,6.679898216387894,Company A,Company C
1.5002040914494383,2.8775616806471938,Company A,Company E
5.876890098415475,23.05026036997129,Company A,Company B
4.627070614858871,22.413957158784342,Company A,Company C
2.574333482121182,14.361353944782898,Company A,Company E
18.397640689529588,88.85141408456414,Company A,Company D
15.668719679873742,83.50154855887517,Company A,Company B
1.3139801286183281,14.016316389283991,Company A,Company E
14.561720197655285,64.50368837367569,Company A,Company C
19.820521685584772,103.29585554579961,Company A,Company E
19.446955151744465,96.65192238344792,Company A,Company C
17.663569540755734,81.55129255702401,Company A,Company D
11.523107704559715,64.74054069801178,Company A,Company C
1.5069056781527328,6.406649888150709,Company A,Company D
17.682844690775315,83.24002219458086,Company A,Company C
3.1037815012207792,22.782484147425446,Company A,Company B
17.76231825378607,96.74858472651654,Company A,Company E
16.850833185352563,77.18068739623544,Company A,Company C
18.57638964419763,92.65583849339016,Company A,Company E
13.579607469300198,58.84012138850171,Company A,Company E
19.720226200611055,91.18738361682958,Company A,Company B
4.927723841567282,33.747659351205414,Company A,Company D
1.9784491735702776,17.047925608725023,Company A,Company B
4.353626702993136,30.350567669901054,Company A,Company D
16.114711505057898,89.17435960817446,Company A,Company D
7.49019471904214,40.25532223351527,Company A,Company E
13.580155907404178,75.37797007938633,Company A,Company C
15.294871932614273,78.83328168136346,Company A,Company E
2.8962114994343904,13.763727243994657,Company A,Company E
3.773635261086518,23.049070548343614,Company A,Company E
1.1158512385424837,12.244103548674367,Company A,Company D
14.214041929937443,67.71557626072999,Company A,Company E
15.668615364638086,78.67047929396936,Company A,Company C
6.003158260751891,32.295705698956866,Company A,Company C
3.7283945687831745,25.385925418406714,Company A,Company B
16.022228737913572,83.87651879740383,Company A,Company C
7.731457704132041,30.17538494672291,Company A,Company B
4.10440480118659,22.085240710019256,Company A,Company E
11.007017536392423,45.233413097610764,Company A,Company C
17.74910491336923,82.3623542291463,Company A,Company E
2.1193117650673923,17.843022365030407,Company A,Company B
16.642476638457865,85.89649875931848,Company A,Company B
11.665035198349932,61.324445599385726,Company A,Company C
7.799362428826643,40.23121864858622,Company A,Company B
19.969051383535323,109.27324601231521,Company A,Company E
13.904883012029705,62.51311823655444,Company A,Company C
17.673005458187774,79.3406185236507,Company A,Company D
6.686451255114577,38.19324779478373,Company A,Company D
6.734741311407671,28.736880181799172,Company A,Company B
17.60803610487308,87.8497987243519,Company A,Company B
14.75562768659931,72.32152857436161,Company A,Company D
2.034681348233827,9.886410170496424,Company A,Company B
19.233722568509105,99.49287610685133,Company A,Company E
19.237788956884355,86.2388877975702,Company A,Company E
1.8934114874722283,13.4820761454887,Company A,Company C
12.455719066857869,56.07050610146859,Company A,Company E
7.81614885301083,32.26707358599624,Company A,Company C
11.960339354180801,52.97190694098436,Company A,Company D
12.794118072412891,54.93035728985219,Company A,Company D
18.843350810276313,99.23354492287883,Company A,Company C
9.20200975550999,43.830661792369796,Company A,Company D
2.2483230388661335,4.3028579074458015,Company A,Company C
10.22416767084605,60.91540703455375,Company A,Company C
16.015790235208158,73.72529778340974,Company A,Company B
2.463865231122602,11.545186089739014,Company A,Company D
19.026179086640717,95.56971861148531,Company A,Company D
8.905721317089608,42.58436853744942,Company A,Company B
16.29021409340045,81.6654525684854,Company A,Company E
19.89160772768369,103.632233352154,Company A,Company E
17.908939406449942,83.8937047575408,Company A,Company D
10.772683121153685,45.11950343061322,Company A,Company E
4.038818285219032,28.89428507469323,Company A,Company B
15.057441277939793,66.42940705495583,Company A,Company D
9.254087584696336,52.7759111655572,Company A,Company D
4.490675446689611,28.81684729741171,Company A,Company C
2.048761088871502,11.154249290771398,Company A,Company D
3.8336864040398155,25.158724241322837,Company A,Company C
14.935965440267623,70.03687760971829,Company A,Company C
14.13075979620975,71.46532111539719,Company A,Company C
12.302548020641911,67.5930851138456,Company A,Company B
10.86805868471415,59.417895980795805,Company A,Company E
18.22724401291029,85.34411270970925,Company A,Company C
8.24663302112141,49.32937877469343,Company A,Company D
9.625415807866014,39.15208858465772,Company A,Company C
7.156329592564745,45.56839165666103,Company A,Company B
1.781826202546394,4.4069729074024,Company A,Company B
18.419435477220677,92.5464306588982,Company A,Company C
10.514020585579459,53.41318532144499,Company A,Company C
17.626919252609788,92.11804799915441,Company A,Company B
1.2059109658222504,14.927900400946154,Company A,Company C
16.53155714068189,73.69517657445815,Company A,Company C
16.266150978844106,89.47922887341511,Company A,Company C
12.58426666512178,57.55291018190138,Company A,Company B
12.827145050994734,59.49731897792808,Company A,Company C
4.735052704413506,22.14232460294422,Company A,Company D
14.052324117908805,70.76869072109426,Company A,Company D
9.64253865956897,54.578039299212335,Company A,Company C
8.927157363524316,39.99924505693117,Company A,Company D
10.515977744634307,61.631483486792504,Company A,Company D
3.6544121641023066,20.117261182275513,Company A,Company C
4.428563257651003,15.210553388297935,Company A,Company E
7.2405888099242075,39.12888278651321,Company A,Company E
16.479191258489024,82.09455284760395,Company A,Company E
13.598251915220867,68.43956031225832,Company A,Company B
13.136950594827077,65.3862725575074,Company A,Company B
5.979702090601426,19.917966229514402,Company A,Company D
7.570291997193009,40.14953925864665,Company A,Company D
